FROM,TO,28/12/16(23.15PM),12/28/2016(23.45PM),12/29/2016(00:00),12/30/2016(00:00),12/30/2016(21:00),1/1/2017(01:45)
INR,USD,0.0147,0.0147,0.0147,0.0147,0.0147,0.0147
INR,BWP,0.1579,0.1579,0.1579,0.1577,0.1567,0.1567
INR,SLL,80.2404,80.2416,80.2404,80.5051,80.4339,80.4339
INR,BDT,1.1567,1.1567,1.1567,1.1609,1.1614,1.1614
INR,CNY,0.1014,0.1014,0.1014,0.1018,0.1017,0.1017
INR,SYP,7.5488,7.5488,7.5488,7.5793,7.5795,7.5795
INR,UGX,52.6972,52.6972,52.6972,53.0568,53.0142,53.0142
INR,MRO,5.2038,5.2038,5.2038,5.2247,5.2102,5.2102
INR,WST,0.0382,0.0382,0.0382,0.0384,0.0383,0.0383
INR,DJF,2.6063,2.6063,2.6063,2.6135,2.6139,2.6139
INR,OMR,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
INR,ISK,1.6626,1.6626,1.6626,1.6785,1.6565,1.6565
INR,PLN,0.0621,0.0621,0.0621,0.0619,0.0615,0.0615
INR,VND,333.7584,333.7584,333.7584,335.2074,335.1142,335.1142
INR,RUB,0.8819,0.8811,0.881,0.8888,0.9056,0.9056
INR,XAF,9.2567,9.2518,9.242,9.2058,9.1711,9.1711
INR,TWD,0.4751,0.4755,0.4754,0.4747,0.4775,0.4775
INR,SZL,0.2033,0.2033,0.2033,0.2002,0.2019,0.2019
INR,INR,1,1,1,1,1,1
INR,JPY,1.721,1.7191,1.7187,1.7108,1.7185,1.7185
INR,MYR,0.0652,0.0652,0.0652,0.0655,0.0655,0.0655
INR,XOF,9.1933,9.1933,9.1933,9.2304,9.2307,9.2307
INR,LBP,22.0683,22.0683,22.0683,22.1794,22.158,22.158
INR,KGS,1.0172,1.0172,1.0173,1.0213,1.0186,1.0186
INR,KHR,58.4711,58.4711,58.4797,59.1205,58.7307,58.7307
INR,CZK,0.3819,0.3815,0.3813,0.3792,0.3775,0.3775
INR,ZAR,0.2032,0.2033,0.2034,0.1999,0.2018,0.2018
INR,TZS,31.8235,31.8235,31.8226,31.9518,31.9969,31.9969
INR,MWK,10.494,10.494,10.4937,10.5362,10.5346,10.5346
INR,STD,346.0188,345.6186,345.5359,344.1918,342.9957,342.9957
